Gew_Nr,Gew_Name,l_total ,l_offen,l_offiziell_eingedolt,l_inoff_eingedolt,mögliche Ausdolung,Parzellen,Ausdolungspotenzial,Bemerkung,Foto im Bericht,Link zu GeoView BL,Informationsblatt,Eigentümer,Bewirtschafter,Gemeinde,Bezirk
51.01,Rhein,900,900,0,,,,0,,-,,,,,Pratteln,Liestal
51.04,Ergolz,1430,1430,0,,,,0,Renaturierung gemäss Richtplan vorgesehen,-,,,,,Pratteln,Liestal
51.63,Hülftenbächli,1140,1090,50,,,,0,,-,,,,,Pratteln,Liestal
51.101,Riedmattbächli,330,290,40,,,,0,mögliche Ausdolung siehe Riedmattbächli in Muttenz,-,,,,,Pratteln,Liestal
51.201,Erlibächli,500,250,250,,,,0,Baulicher Hochwasserschutz gemäss Wasserbaukonzept,-,,,,,Pratteln,Liestal
51.202,Heulenlochbach,780,740,40,,,,0,Baulicher Hochwasserschutz gemäss Wasserbaukonzept,-,,,,,Pratteln,Liestal
51.203,Mädersrütibächli,380,210,170,,,,0,,-,,,,,Pratteln,Liestal
51.204,Talbach,2170,1930,240,,,,0,Baulicher Hochwasserschutz gemäss Wasserbaukonzept,-,,,,,Pratteln,Liestal
51.205,Käppelimattbächli,400,300,100,,,,0,,-,,,,,Pratteln,Liestal
23.04,Ergolz,2650,2650,0,,,,0,Revitalisierung gemäss Richtplan/Wasserbaukonzept vorgesehen (z.T. bereits erfolgt),-,,,,,Fuellinsdorf,Liestal
23.38,Zettelbach,390,390,0,,,,0,,-,,,,,Fuellinsdorf,Liestal
23.40,Ruschenbächli,1380,1030,350,,,,4,,23.40,Plan-link,Fuellinsdorf_Eindolungen_Bericht,,,Fuellinsdorf,Liestal
23.63,Hülftenbächli,140,70,70,,,,0,eingedolter Abschnitt wird mit Bau der H2 (Anschluss Pratteln) freigelegt,-,,,,,Fuellinsdorf,Liestal
23.15,Elbisbergbächli,40,40,0,,,,0,,-,,,,,Fuellinsdorf,Liestal
23.201,Rüschgrabenbächli,1080,330,750,,,,0,"eingedolter Abschnitt vollumfänglich im bereits überbauten Gebiet, kein Platz, Erosionsgefahr aufgrund des sehr grossen Gefälles;   Baulicher Hochwasserschutz gemäss Waserbaukonzept",-,,,,,Fuellinsdorf,Liestal
,Seitenast gegen SE im obersten Teil des Rüschgrabenbächlis,> 300,> 300,10,,,,0,"Ausdolung vermutlich  im Rahmen der Anlage des Naturschutzgebietes ""Brüschgraben"" mit zwei kleinen Weihern (Seitenast auf Planunterlagen Pro Natura und im GeoView nicht erfasst)",S. 2,Plan-link,Fuellinsdorf_Eindolungen_Bericht,,,Fuellinsdorf,Liestal
22.63,Hülftenbächli,1480,1420,60,,,,0,eingedolter Abschnitt wurde mit Bau der H2 (Anschluss Pratteln) freigelegt,-,,,,,Frenkendorf,Liestal
,Drainage-Seitenast Richtung Schönenberg,300,0,300,,,,0," regelmässige, intensive Ackerbaunutzung auf FFF; Speisung weitgehend durch Drainagen (Hauptstrang des alten Drainagenetzes I), ev. Erosionsgefahr durch starken Oberflächenzufluss bei offener Führung im oberen Abschnitt; Ausdolung im untersten Abschnitt entlang Familiengartenareal denkbar",22.63,Plan-link,Frenkendorf_Eindolungen_Bericht,,,Frenkendorf,Liestal
22.64,Rösernbach,430,430,0,,,,0,,-,,,,,Frenkendorf,Liestal
22.144,Dugmattbächli,70,70,0,,,,0,,-,,,,,Frenkendorf,Liestal
22.201,Flüeacherbächli,270,220,50,,,,0,Ausdolung bereits erfolgt; Rest < 30 m Wegquerungen,-,,,,,Frenkendorf,Liestal
22.202,Rischbächli,480,140,340,,240,2124,2,"im mittleren und unteren Abschnitt Ackerbau auf FFF, im untersten Teil wäre ev. offene Bachführung entlang Parzellengrenze denkbar; Wasserführung gut dank Reservoirüberlauf; Vernetzungswirkung wäre gut; Gefahr durch Hangwasser würde nicht erhöht",22.201,Plan-link,Frenkendorf_Eindolungen_Bericht,"Werner Stalder, Erbengem.",,Frenkendorf,Liestal
,,,,,,,2104,0,,-,,,Gütergemeinschaft,,Frenkendorf,Liestal
,,,,,,,2105,0,,-,,,Aktiengesellschaft Burgrain,,Frenkendorf,Liestal
,,,,,,,2111,0,,-,,,Gemeinde Frenkendorf,,Frenkendorf,Liestal
22.203,Lochmattbächli,230,90,140,,,2154,4,"Wasserführung nur nach Niederschlägen (Oberflächenwasser), Eindolung defekt (Wasseraufstoss und oberflächliche Vernässung); altes Betonbecken in Weide; Vernetzungswirkung zu isoliertem Wäldchen im oberen Teil wäre gross",22.203,Plan-link,Frenkendorf_Eindolungen_Bericht,"Zeller-Straumann J. Rüttigasse 1, ",,Frenkendorf,Liestal
